Feature,Importance
eeg_kurt_c7min_norm,519500.5643586529
emg_hmob,423930.0559519093
eeg_perm_c7min_norm,354524.4883885471
eeg_std_c7min_norm,306459.0049952601
emg_std_c7min_norm,228641.64620569942
eeg_std,206033.4447884213
eeg_dt_c7min_norm,167575.00236200786
emg_log_rms_emg_c7min_norm,147530.53274012328
eeg_iqr_c7min_norm,136685.29661178123
emg_std_p2min_norm,111334.71041712101
emg_log_rms_emg_p2min_norm,93075.87809522753
eeg_db_c7min_norm,88026.22354491471
eeg_fdelta_p2min_norm,79625.41456560697
eeg_theta_c7min_norm,64059.09818296478
emg_nzc_c7min_norm,54378.57026582504
emg_hmob_c7min_norm,52278.35061692764
emg_abspow_c7min_norm,47100.944495130694
eeg_abspow_c7min_norm,45694.225195128965
eeg_petrosian_c7min_norm,42994.03323385426
eeg_dt_p2min_norm,42716.97729799849
eeg_fdelta_c7min_norm,42364.01198750767
emg_petrosian,36117.30645594461
eeg_abspow,29740.09322844324
eeg_iqr,27433.589872849574
emg_hmob_p2min_norm,26919.480745022534
eeg_sigma_c7min_norm,23273.046840662835
eeg_std_p2min_norm,21226.316149420323
eeg_kurt_p2min_norm,19410.855154236844
eeg_nzc_c7min_norm,19271.08314158755
emg_hcomp_c7min_norm,19192.645862594334
emg_perm,18388.229943670558
emg_iqr_p2min_norm,17787.255810320443
emg_std,16444.86952763657
emg_log_rms_emg,14526.26987730055
emg_higuchi,13139.042084330396
eeg_iqr_p2min_norm,12949.645959151037
emg_petrosian_c7min_norm,12859.492853715896
eeg_perm_p2min_norm,12690.57027622254
emg_iqr_c7min_norm,12033.323349260232
eeg_petrosian_p2min_norm,11688.638319251913
emg_abspow_p2min_norm,11455.953968046802
eeg_sdelta_c7min_norm,11155.50856896398
eeg_alpha_c7min_norm,9843.23646625068
eeg_kurt,8617.910655363921
eeg_at_c7min_norm,8569.643499704698
emg_perm_c7min_norm,6879.245646772761
emg_skew_c7min_norm,6764.3374756837275
eeg_skew_c7min_norm,6087.778693611341
emg_hcomp_p2min_norm,5986.960714610304
eeg_theta_p2min_norm,5771.998257080928
emg_hcomp,5725.898284663528
emg_kurt_c7min_norm,5193.959409786667
eeg_nzc_p2min_norm,4836.273816976515
eeg_higuchi_c7min_norm,4310.3326831537015
eeg_hcomp_c7min_norm,3971.9042896172505
eeg_abspow_p2min_norm,3464.367679295854
eeg_fdelta,3346.6301183022733
eeg_higuchi_p2min_norm,3318.0476300121227
eeg_alpha,3317.5556193751772
eeg_hcomp_p2min_norm,3068.3792419099277
eeg_ds_c7min_norm,3033.841494212621
emg_perm_p2min_norm,2856.1179258047505
eeg_hmob_c7min_norm,2830.4736579351156
eeg_sdelta_p2min_norm,2723.8364587563983
emg_higuchi_c7min_norm,2684.422915090787
emg_nzc_p2min_norm,2674.365460416959
emg_petrosian_p2min_norm,2452.7553869346157
eeg_at_p2min_norm,2342.9193101094615
emg_higuchi_p2min_norm,2252.352083402645
eeg_dt,2166.267883279925
eeg_theta,2076.833331898914
eeg_higuchi,2022.5768715788386
emg_nzc,1845.486864774975
eeg_petrosian,1749.3199190382875
eeg_beta_c7min_norm,1708.437488221677
emg_abspow,1632.83629837842
emg_kurt_p2min_norm,1596.1993423469999
eeg_alpha_p2min_norm,1546.9438106550363
eeg_hcomp,1541.5247013980998
eeg_skew_p2min_norm,1516.4546362011497
eeg_db_p2min_norm,1514.2125488051277
emg_iqr,1392.614847013659
eeg_perm,1353.3093157396813
emg_skew_p2min_norm,1305.6786023101008
eeg_sigma_p2min_norm,1215.4107709862574
eeg_sigma,1130.2045037772775
eeg_at,1104.5029071179392
eeg_ds_p2min_norm,1064.419707424077
emg_skew,1061.3643292570823
eeg_sdelta,1034.8123044583697
eeg_beta_p2min_norm,1003.4948725033901
eeg_nzc,939.4952567741275
emg_kurt,897.515505121973
eeg_hmob_p2min_norm,854.0757224131934
eeg_db,717.1582842947792
eeg_beta,663.9134204106103
eeg_hmob,654.134062381004
eeg_ds,569.2968239655311
eeg_skew,507.0922999573668
