Feature,Importance
eeg_kurt_c7min_norm,502929.0282498784
eeg_std,352103.2589155315
emg_hmob,338703.2579786061
eeg_std_c7min_norm,290749.4371338539
eeg_perm_c7min_norm,271958.0791663785
eeg_dt_c7min_norm,246863.106070319
emg_log_rms_emg_c7min_norm,192328.18041862766
emg_std_c7min_norm,116387.03006099592
emg_nzc_c7min_norm,115767.67829599025
emg_hmob_p2min_norm,92059.42940664542
eeg_abspow_c7min_norm,91110.02099400427
eeg_theta_c7min_norm,85000.7966642609
emg_log_rms_emg_p2min_norm,75476.34683511638
emg_std_p2min_norm,74529.17149874465
emg_hmob_c7min_norm,71164.56421208169
emg_abspow_c7min_norm,71097.01193821632
eeg_fdelta_c7min_norm,68878.61565639326
eeg_fdelta_p2min_norm,65356.981356427954
eeg_iqr_c7min_norm,52756.205621467925
eeg_petrosian_c7min_norm,48930.186588634046
eeg_dt_p2min_norm,41434.42674537971
eeg_nzc_c7min_norm,37236.57724157086
emg_iqr_c7min_norm,35211.522382852716
emg_iqr_p2min_norm,31247.304471576677
emg_petrosian,26971.243908592638
emg_perm,22191.002164348385
eeg_iqr_p2min_norm,21599.42555531883
emg_hcomp_c7min_norm,21428.87284029559
eeg_iqr,20860.792434447823
emg_higuchi_c7min_norm,20638.014082686015
eeg_kurt_p2min_norm,19083.54999971896
eeg_abspow,18146.009566311295
emg_log_rms_emg,15995.141610224202
eeg_std_p2min_norm,14297.521645188037
eeg_perm_p2min_norm,13886.634457092048
eeg_sigma_c7min_norm,13071.856134250958
emg_std,11008.983308733921
emg_perm_c7min_norm,10650.520430002647
eeg_at_c7min_norm,9655.956495689676
eeg_sdelta_c7min_norm,9647.029893378958
eeg_skew_c7min_norm,9038.380217855676
eeg_petrosian_p2min_norm,8660.99356440491
eeg_db_c7min_norm,7662.81477052356
eeg_alpha_c7min_norm,7318.156228080263
emg_abspow_p2min_norm,7287.905961925999
eeg_theta_p2min_norm,6286.3236136297855
emg_skew_c7min_norm,6117.228593903658
emg_hcomp,5374.904629937524
emg_kurt_c7min_norm,5370.038038063098
emg_higuchi,5310.630718563785
eeg_fdelta,5145.8917022564165
eeg_nzc_p2min_norm,4903.764711554948
emg_hcomp_p2min_norm,4573.00968435084
eeg_hcomp_c7min_norm,3895.9193898055746
eeg_abspow_p2min_norm,3678.56965066852
emg_petrosian_c7min_norm,3346.9679198169633
eeg_ds_c7min_norm,3340.32957481524
eeg_alpha,3325.4515087704326
eeg_higuchi_c7min_norm,3311.2370796770715
eeg_hcomp_p2min_norm,3254.2823762465305
emg_petrosian_p2min_norm,2917.7187433978056
eeg_at_p2min_norm,2839.639960315586
emg_perm_p2min_norm,2731.2437331153633
emg_nzc,2648.3942302864343
eeg_sdelta_p2min_norm,2603.9270131280937
emg_abspow,2448.487719376754
eeg_higuchi_p2min_norm,2448.340381852173
eeg_higuchi,2090.6710671047003
eeg_hmob_c7min_norm,2076.012275823159
eeg_beta_c7min_norm,2074.8920448870376
eeg_theta,2051.225068758534
eeg_dt,2003.3509928957792
emg_kurt_p2min_norm,1907.5285060985282
eeg_alpha_p2min_norm,1756.8291956479661
eeg_db_p2min_norm,1713.64856647292
emg_higuchi_p2min_norm,1622.823949307506
emg_iqr,1617.5709185686542
eeg_hcomp,1515.769985246297
eeg_petrosian,1423.2482428512092
eeg_sdelta,1319.5303314813616
eeg_skew_p2min_norm,1307.6134580705566
emg_skew_p2min_norm,1257.4311844786826
eeg_sigma_p2min_norm,1228.1244401616561
eeg_ds_p2min_norm,1190.33863497946
emg_nzc_p2min_norm,1161.1028397401606
eeg_perm,1114.7650251975501
eeg_sigma,1100.1458383181778
eeg_beta_p2min_norm,1070.174231100134
eeg_hmob_p2min_norm,1045.6038561207406
eeg_hmob,972.9228712153854
eeg_at,958.3403187408903
emg_kurt,882.2807248933624
emg_skew,870.1980983113244
eeg_nzc,748.0892861870452
eeg_beta,661.9915563112257
eeg_skew,612.7132204709415
eeg_ds,610.2022520120136
eeg_db,594.7827858811979
