Feature,Importance
eeg_kurt_c7min_norm,500890.5974864657
eeg_std_c7min_norm,316320.6713502029
eeg_dt_c7min_norm,263044.74408785754
emg_hmob,252641.247590698
eeg_perm_c7min_norm,230088.8888559211
eeg_std,214686.74768420568
emg_std_c7min_norm,181944.81459885516
emg_hmob_c7min_norm,181549.5083490617
emg_std_p2min_norm,151403.43826578205
emg_higuchi_c7min_norm,126009.97147457981
eeg_fdelta_c7min_norm,109060.48668544131
emg_iqr_c7min_norm,105345.20501255865
eeg_iqr_c7min_norm,104924.26520495265
eeg_abspow_c7min_norm,91236.1817047749
emg_abspow_c7min_norm,83774.3720653404
eeg_theta_c7min_norm,73501.43898696855
emg_nzc_c7min_norm,57465.79262577848
eeg_petrosian_c7min_norm,47728.00987212099
emg_abspow_p2min_norm,44274.00075048892
eeg_dt_p2min_norm,42856.203926040864
emg_perm,39866.71293250951
eeg_abspow,35199.93767926813
emg_iqr_p2min_norm,35129.564988448416
eeg_fdelta_p2min_norm,34557.234562680336
emg_hmob_p2min_norm,30741.569315075372
emg_std,29584.60725869384
eeg_nzc_c7min_norm,24535.181382327573
eeg_sdelta_c7min_norm,23848.55109328597
eeg_iqr,23166.02662249682
eeg_kurt_p2min_norm,23053.547324675113
eeg_perm_p2min_norm,21870.407198695757
eeg_iqr_p2min_norm,20589.213991668163
eeg_db_c7min_norm,20428.214862749523
emg_petrosian,19759.94317656933
eeg_petrosian_p2min_norm,19503.34375449062
eeg_sigma_c7min_norm,16952.639693382782
emg_hcomp_c7min_norm,13452.10173380599
eeg_std_p2min_norm,13426.29562996811
eeg_at_c7min_norm,9507.297429172771
eeg_kurt,8883.107800865375
eeg_skew_c7min_norm,7884.599791460362
emg_perm_c7min_norm,7789.096623167289
eeg_alpha_c7min_norm,7188.218588799478
emg_nzc,6744.364617975624
emg_skew_c7min_norm,6207.684959388756
eeg_theta_p2min_norm,6018.744552706485
emg_kurt_c7min_norm,5922.6394302444205
eeg_nzc_p2min_norm,5893.896707088061
emg_hcomp_p2min_norm,5638.711545554193
emg_hcomp,5391.680102708433
eeg_abspow_p2min_norm,4769.510330757884
eeg_higuchi_c7min_norm,4747.83477896831
eeg_ds_c7min_norm,4185.502946434683
emg_abspow,4102.859682596092
emg_petrosian_c7min_norm,4089.2671170156536
emg_higuchi,3973.405303589534
eeg_hcomp_c7min_norm,3842.55082934245
eeg_alpha,3533.8558468819188
emg_iqr,3426.427675462318
emg_perm_p2min_norm,3405.904379219487
eeg_fdelta,3247.4413406356653
eeg_hcomp_p2min_norm,3241.9580970695242
emg_petrosian_p2min_norm,2765.370731052768
eeg_at_p2min_norm,2478.8802925883883
eeg_higuchi,2463.8850705562527
eeg_hmob_c7min_norm,2344.3618349841686
eeg_sdelta_p2min_norm,2314.6894314549163
eeg_higuchi_p2min_norm,2268.7069021495327
eeg_perm,2214.773881022521
eeg_theta,2046.8341006655558
emg_kurt_p2min_norm,1858.031540511176
eeg_dt,1851.202918158313
eeg_beta_c7min_norm,1846.99437271277
eeg_alpha_p2min_norm,1661.0221104298253
eeg_db_p2min_norm,1598.0652936392705
emg_higuchi_p2min_norm,1547.738376573731
eeg_skew_p2min_norm,1484.3444084007788
eeg_hcomp,1428.1966496641107
eeg_ds_p2min_norm,1341.5042813663895
emg_skew_p2min_norm,1299.1539312895266
eeg_hmob_p2min_norm,1139.5816612143535
emg_nzc_p2min_norm,1134.615704446871
eeg_sdelta,1107.9206968754006
emg_skew,1067.628709652865
eeg_sigma,1056.7586478994108
emg_kurt,1020.3824722050631
eeg_petrosian,983.7314815215432
eeg_sigma_p2min_norm,947.1023561430177
eeg_at,936.7267988203093
eeg_beta_p2min_norm,868.1115470618421
eeg_nzc,684.4855060393354
eeg_db,681.0825641854171
eeg_beta,670.2025788418005
eeg_hmob,650.5480970777369
eeg_ds,642.6770803885577
eeg_skew,631.6791381322535
