Feature,Importance
eeg_kurt_c7min_norm,639197.4181825473
emg_hmob,370335.5526637234
eeg_std_c7min_norm,317285.63721712586
eeg_dt_c7min_norm,293668.85496470943
eeg_std,253669.5251123988
emg_hmob_c7min_norm,167105.28089210964
emg_std_p2min_norm,135916.7573148018
eeg_iqr_c7min_norm,134540.6244952206
emg_log_rms_emg_c7min_norm,129633.0929327558
emg_std_c7min_norm,127500.37549531827
eeg_petrosian_c7min_norm,109937.14841130502
emg_log_rms_emg_p2min_norm,108349.80202153849
eeg_fdelta_c7min_norm,107792.32478898855
emg_nzc_c7min_norm,78317.0260463793
eeg_theta_c7min_norm,77886.06295128095
eeg_std_p2min_norm,55718.11149419012
emg_petrosian,55001.033767226545
eeg_fdelta_p2min_norm,47252.75129207587
emg_abspow_c7min_norm,43192.78954202641
eeg_abspow_c7min_norm,38691.74424473495
emg_iqr_p2min_norm,37651.373389290326
eeg_dt_p2min_norm,28088.376021863252
eeg_petrosian_p2min_norm,25912.72906613021
eeg_iqr_p2min_norm,25060.262125295827
emg_abspow_p2min_norm,24960.663176854883
eeg_nzc_c7min_norm,24519.576659615315
eeg_abspow,18249.252678581142
emg_std,18223.988987713183
eeg_abspow_p2min_norm,17462.501765891415
eeg_iqr,15243.603941500814
emg_iqr_c7min_norm,15134.592834326115
eeg_sigma_c7min_norm,15048.689598042867
emg_hcomp_c7min_norm,13996.000973718641
eeg_skew_c7min_norm,13101.006022228865
emg_log_rms_emg,11787.244255804253
eeg_db_c7min_norm,11083.514520355076
emg_higuchi,11008.007178778083
emg_petrosian_c7min_norm,9831.191746544997
eeg_sdelta_c7min_norm,9743.316919253173
eeg_at_c7min_norm,9121.111419297988
eeg_theta_p2min_norm,8951.48845170681
eeg_kurt_p2min_norm,8467.648037214203
eeg_kurt,7862.1083871881165
eeg_alpha_c7min_norm,7786.669300708863
emg_hcomp_p2min_norm,7541.681871739813
emg_hmob_p2min_norm,7531.754880102972
eeg_nzc_p2min_norm,6924.15821175483
emg_skew_c7min_norm,6250.6718006279
emg_kurt_c7min_norm,6223.404534031753
emg_hcomp,5466.162712067231
emg_nzc_p2min_norm,5187.350798857864
emg_petrosian_p2min_norm,4348.821705389045
eeg_hcomp_c7min_norm,4210.515220416648
eeg_fdelta,3886.615433827566
eeg_higuchi_c7min_norm,3839.940313163679
emg_higuchi_c7min_norm,3528.903099999052
eeg_ds_c7min_norm,3509.0184334167684
eeg_alpha,3216.4746040971118
eeg_hcomp_p2min_norm,3179.1427660751683
eeg_dt,3102.8045549507933
eeg_higuchi_p2min_norm,2949.598220299578
eeg_at_p2min_norm,2555.0330315310393
eeg_petrosian,2504.682903053597
eeg_sdelta_p2min_norm,2449.9941780050867
eeg_hmob_c7min_norm,2448.845743294447
eeg_theta,2259.9949408955763
emg_nzc,2201.1920893796173
emg_iqr,2174.439978204161
emg_kurt_p2min_norm,1901.1012687680632
eeg_higuchi,1877.1867564458225
emg_higuchi_p2min_norm,1804.073961968731
emg_abspow,1731.4167068825482
eeg_alpha_p2min_norm,1660.109036866495
eeg_beta_c7min_norm,1640.376820466714
eeg_hcomp,1598.4348243552088
emg_skew_p2min_norm,1549.046450539201
eeg_db_p2min_norm,1544.0006864080442
eeg_skew_p2min_norm,1401.8958885616412
eeg_ds_p2min_norm,1367.9164427597527
eeg_beta_p2min_norm,1354.623108053128
eeg_at,1223.2071321158498
eeg_sigma_p2min_norm,1165.8227806217346
eeg_sigma,1150.4962547276227
eeg_sdelta,1074.8980683187206
emg_skew,1008.0159230612461
eeg_nzc,944.0783493830841
eeg_hmob_p2min_norm,917.8087570038442
emg_kurt,885.3879028820163
eeg_skew,762.2119416229275
eeg_hmob,724.7133475174587
eeg_db,663.3268400923171
eeg_beta,638.2594336799569
eeg_ds,578.8391704352762
