Feature,Importance
eeg_kurt_c7min_norm,561615.3925760579
emg_hmob,346298.5309111071
eeg_std_c7min_norm,311470.28502965823
eeg_abspow_c7min_norm,257438.29478807544
eeg_dt_c7min_norm,232439.43285677378
eeg_perm_c7min_norm,175993.38069351148
emg_log_rms_emg_c7min_norm,167759.1062020374
emg_nzc_c7min_norm,115761.73563744278
emg_std_c7min_norm,109990.1578369102
emg_hmob_p2min_norm,94213.43133938123
eeg_iqr_c7min_norm,91976.07527335276
emg_log_rms_emg_p2min_norm,91066.8580929381
eeg_theta_c7min_norm,89674.721113938
eeg_petrosian_c7min_norm,82581.94425455239
eeg_abspow,81315.5678379524
emg_abspow_c7min_norm,80085.31973215089
eeg_fdelta_c7min_norm,70558.21526283311
eeg_fdelta_p2min_norm,65156.214636792116
emg_std_p2min_norm,64301.23385359306
emg_hmob_c7min_norm,58871.167578741326
emg_iqr_c7min_norm,52926.3558242245
eeg_iqr,50462.56964076878
emg_petrosian,44150.389182932384
emg_iqr_p2min_norm,33774.257100226096
eeg_dt_p2min_norm,33090.32148547734
eeg_iqr_p2min_norm,29573.676495085456
eeg_kurt_p2min_norm,27119.356859780048
eeg_petrosian_p2min_norm,21684.769600758318
emg_higuchi_c7min_norm,21031.162102788127
eeg_std_p2min_norm,20412.062188510652
emg_perm,18128.10443373841
eeg_sdelta_c7min_norm,16827.600778663946
emg_hcomp_c7min_norm,16793.985057250084
eeg_db_c7min_norm,15492.808510364473
emg_log_rms_emg,13550.429541486326
emg_std,13329.935221403517
eeg_sigma_c7min_norm,12983.64730673682
eeg_kurt,12620.417226448775
emg_higuchi,10020.379127883545
eeg_at_c7min_norm,9444.692748781761
emg_perm_c7min_norm,9069.339816102027
eeg_nzc_c7min_norm,9031.71187930677
emg_abspow_p2min_norm,7778.79910056803
eeg_skew_c7min_norm,7439.98385476254
eeg_perm_p2min_norm,6839.6449241431
eeg_alpha_c7min_norm,6512.174767265848
emg_skew_c7min_norm,6302.224856455402
emg_hcomp,6027.005749836077
eeg_theta_p2min_norm,5679.760700779176
emg_hcomp_p2min_norm,5365.623860001881
emg_kurt_c7min_norm,5163.30768385969
eeg_abspow_p2min_norm,4672.953501435297
eeg_fdelta,4553.766872171013
eeg_higuchi_c7min_norm,4543.520107537448
emg_petrosian_c7min_norm,4482.41425328805
eeg_nzc_p2min_norm,4378.193113629812
emg_iqr,3939.5920243372943
eeg_hcomp_c7min_norm,3929.0653846157365
emg_petrosian_p2min_norm,3346.4636131699945
eeg_ds_c7min_norm,3118.813026550037
eeg_hcomp_p2min_norm,2997.7900732435464
eeg_alpha,2958.2959065582036
eeg_hmob_c7min_norm,2864.0891028598126
emg_perm_p2min_norm,2750.9712576585703
eeg_higuchi_p2min_norm,2725.9121455091613
eeg_dt,2667.773484874717
eeg_perm,2547.827529063309
eeg_petrosian,2521.773638288174
eeg_sdelta_p2min_norm,2510.737362504647
emg_abspow,2476.279429801506
eeg_at_p2min_norm,2476.0841020697526
eeg_hcomp,2130.4246585937526
eeg_beta_c7min_norm,2112.128381100984
emg_higuchi_p2min_norm,2003.1510980388484
eeg_db_p2min_norm,1919.8149839461712
eeg_theta,1888.2696136829118
eeg_higuchi,1814.0654822625033
emg_kurt_p2min_norm,1784.0872881475952
eeg_alpha_p2min_norm,1765.552470523423
eeg_ds_p2min_norm,1682.8718042269702
emg_nzc_p2min_norm,1497.2166865665354
eeg_skew_p2min_norm,1478.3746671663175
eeg_at,1464.2832343188218
eeg_sigma,1456.2231370102309
eeg_hmob,1293.0173908430097
eeg_sdelta,1255.6070015776058
emg_skew_p2min_norm,1189.8613269988564
eeg_sigma_p2min_norm,1103.230760314768
emg_nzc,1030.3315062521883
emg_kurt,984.6116267805919
eeg_beta_p2min_norm,926.3398128743783
emg_skew,901.858249728208
eeg_beta,837.4064721870706
eeg_hmob_p2min_norm,835.9995127970578
eeg_nzc,759.0340738954692
eeg_skew,715.2029648076314
eeg_db,711.9976669076905
eeg_ds,460.32985535681235
