Feature,Importance
eeg_perm_c7min_norm,578313.6374132108
eeg_kurt_c7min_norm,563860.6728812068
eeg_dt_c7min_norm,498842.55840350676
eeg_std,276542.8310818899
eeg_abspow_c7min_norm,248962.80289178886
eeg_std_c7min_norm,140104.74464571
eeg_nzc_c7min_norm,124406.03717125577
eeg_std_p2min_norm,112914.05645195924
eeg_sdelta_c7min_norm,100461.27579037023
eeg_dt_p2min_norm,97420.63776067161
eeg_iqr_c7min_norm,78318.28940580449
eeg_petrosian_c7min_norm,59146.28583893912
eeg_fdelta_c7min_norm,55259.97915200725
eeg_fdelta_p2min_norm,53372.71548884734
eeg_db_c7min_norm,51627.098580347854
eeg_theta_c7min_norm,48315.26831270857
eeg_sigma_c7min_norm,40834.057682120125
eeg_perm_p2min_norm,37110.495601363415
eeg_abspow,36506.049350537345
eeg_skew_c7min_norm,36168.9816417339
eeg_alpha_c7min_norm,34601.06690849294
eeg_petrosian_p2min_norm,33664.170049162814
eeg_at_c7min_norm,29766.23677088286
eeg_higuchi_c7min_norm,27729.04693736535
eeg_iqr_p2min_norm,27370.295141382652
eeg_kurt_p2min_norm,26773.48383072821
eeg_fdelta,21510.606029801835
eeg_nzc_p2min_norm,18314.640533587735
eeg_iqr,18202.62413524989
eeg_kurt,17651.647441005847
eeg_hcomp_c7min_norm,15827.531730110282
eeg_sdelta_p2min_norm,13236.553966235342
eeg_hcomp_p2min_norm,11780.412994534658
eeg_abspow_p2min_norm,11651.966302721012
eeg_theta_p2min_norm,10501.21508174844
eeg_ds_c7min_norm,9836.132864600855
eeg_alpha,8315.572335325476
eeg_at_p2min_norm,7998.726233892069
eeg_beta_c7min_norm,7911.845968241884
eeg_db_p2min_norm,7834.988898879076
eeg_hmob_p2min_norm,7508.911260331039
eeg_higuchi_p2min_norm,7393.475211802441
eeg_at,5723.366842615418
eeg_skew_p2min_norm,5621.783032061068
eeg_hmob_c7min_norm,5211.864596064649
eeg_alpha_p2min_norm,4528.522189793545
eeg_dt,4477.220248693895
eeg_hcomp,4151.912781503093
eeg_beta_p2min_norm,3982.5812350065985
eeg_petrosian,3849.8223124761134
eeg_sigma_p2min_norm,3720.7758052165154
eeg_db,2929.579333298771
eeg_ds_p2min_norm,2841.974908127231
eeg_higuchi,2776.122518684366
eeg_sigma,2125.5423892186104
eeg_hmob,2088.0936308568253
eeg_nzc,1952.8681885722524
eeg_perm,1931.3319263519397
eeg_theta,1762.1807134115209
eeg_sdelta,1720.5875819643338
eeg_skew,1435.4502231203894
eeg_beta,1290.7792259189093
eeg_ds,877.4615820657141
