Feature,Importance
eeg_dt_c7min_norm,583984.1768172226
eeg_petrosian_c7min_norm,370132.01598288043
eeg_perm_c7min_norm,366100.0392109473
eeg_std_c7min_norm,320330.8313268758
eeg_std,230621.8945954246
eeg_fdelta_c7min_norm,199329.1804038462
eeg_db_c7min_norm,198674.86754350027
eeg_abspow_c7min_norm,144976.2241001894
eeg_nzc_c7min_norm,128363.09315330736
eeg_fdelta_p2min_norm,100962.40161746985
eeg_sdelta_c7min_norm,99494.17879426503
eeg_dt_p2min_norm,89293.80525051814
eeg_perm_p2min_norm,84339.92407382531
eeg_theta_c7min_norm,70578.02510817233
eeg_abspow,62565.87407064774
eeg_sigma_c7min_norm,60402.44530532006
eeg_iqr_c7min_norm,53677.21091410928
eeg_iqr_p2min_norm,40148.608778736976
eeg_std_p2min_norm,38187.54274379063
eeg_fdelta,37294.38002846051
eeg_alpha_c7min_norm,35475.87489698641
eeg_at_c7min_norm,32613.231140865715
eeg_skew_c7min_norm,27295.36767691125
eeg_petrosian_p2min_norm,24678.835569101084
eeg_nzc_p2min_norm,24151.310433634193
eeg_hmob_c7min_norm,22933.9615487948
eeg_hcomp_c7min_norm,22111.532277692415
eeg_higuchi_c7min_norm,20468.085600794584
eeg_abspow_p2min_norm,16744.171229639967
eeg_sdelta_p2min_norm,14060.88666751302
eeg_alpha,13297.168167556561
eeg_ds_c7min_norm,12522.033319920032
eeg_iqr,11369.572903669985
eeg_theta_p2min_norm,10169.32011143753
eeg_db_p2min_norm,9623.169992640553
eeg_hcomp_p2min_norm,9364.809639043428
eeg_at_p2min_norm,8711.826384944376
eeg_sigma_p2min_norm,7762.6308673936
eeg_beta_c7min_norm,7728.549970801381
eeg_higuchi_p2min_norm,6348.155675435875
eeg_dt,6130.773885659675
eeg_alpha_p2min_norm,4767.463983818627
eeg_ds_p2min_norm,4362.686360191971
eeg_hcomp,4243.468008852702
eeg_skew_p2min_norm,4137.367574886826
eeg_at,3579.6531705259576
eeg_hmob,2836.8850774179846
eeg_beta_p2min_norm,2829.843649695578
eeg_higuchi,2692.097977805278
eeg_sigma,2407.802136008815
eeg_sdelta,1972.2864887932656
eeg_nzc,1961.163615903548
eeg_hmob_p2min_norm,1920.5315831880628
eeg_petrosian,1894.8573368977043
eeg_theta,1806.1444889720435
eeg_perm,1693.4401613435475
eeg_skew,1532.0956619451938
eeg_db,1522.8807814988131
eeg_beta,1387.5312113266814
eeg_ds,893.024264354729
