Feature,Importance
eeg_kurt_c7min_norm,569064.2125107893
eeg_petrosian_c7min_norm,535610.7886063633
eeg_dt_c7min_norm,440088.75148640486
eeg_std_c7min_norm,309237.4496000679
eeg_std,214344.46147259002
eeg_abspow_c7min_norm,126440.15547590706
eeg_sdelta_c7min_norm,120695.5686955114
eeg_dt_p2min_norm,103865.02547739493
eeg_fdelta_c7min_norm,103089.9410291055
eeg_nzc_c7min_norm,102061.04840843519
eeg_iqr_c7min_norm,100438.69679013414
eeg_petrosian_p2min_norm,83902.80315146626
eeg_db_c7min_norm,83610.94911872919
eeg_kurt_p2min_norm,67664.83720520895
eeg_abspow_p2min_norm,64750.97276627068
eeg_theta_c7min_norm,63691.64219402874
eeg_abspow,56318.972823204946
eeg_iqr_p2min_norm,42081.49992412163
eeg_sigma_c7min_norm,40905.84599694138
eeg_std_p2min_norm,40873.66474818963
eeg_skew_c7min_norm,34487.50679392696
eeg_fdelta_p2min_norm,32800.20769745272
eeg_nzc_p2min_norm,31438.52503565032
eeg_at_c7min_norm,30556.47822161165
eeg_fdelta,25268.80639165702
eeg_higuchi_c7min_norm,23765.66341163272
eeg_alpha_c7min_norm,23694.56578048934
eeg_hcomp_c7min_norm,22745.72470669059
eeg_kurt,13775.606843566013
eeg_sdelta_p2min_norm,12748.383140184964
eeg_hmob_c7min_norm,11443.365634235963
eeg_alpha,11371.024582886123
eeg_theta_p2min_norm,11037.20230539751
eeg_hcomp_p2min_norm,10443.67774084205
eeg_iqr,9132.655590645152
eeg_ds_c7min_norm,9128.188334920293
eeg_beta_c7min_norm,8979.012280574825
eeg_at_p2min_norm,8487.631645591777
eeg_skew_p2min_norm,6883.697757060212
eeg_higuchi_p2min_norm,6621.1589442612785
eeg_dt,6359.5601865182225
eeg_hcomp,4922.710361641994
eeg_alpha_p2min_norm,4843.481696314739
eeg_db_p2min_norm,4510.489557757674
eeg_beta_p2min_norm,4178.4356065704615
eeg_sigma_p2min_norm,3944.078644411228
eeg_higuchi,3550.0365254492444
eeg_ds_p2min_norm,3516.0493621052606
eeg_petrosian,3186.0809144294003
eeg_nzc,2976.1055475987696
eeg_at,2705.3563634160255
eeg_db,2602.444210333741
eeg_hmob_p2min_norm,2433.097948786395
eeg_hmob,2349.9756788625755
eeg_sigma,2085.9454414746224
eeg_sdelta,1734.2682674485593
eeg_theta,1484.7070093784532
eeg_skew,1450.4426340413856
eeg_beta,1295.5565466247353
eeg_ds,856.8454135131406
