Feature,Importance
eeg_perm_c7min_norm,710105.9988722056
eeg_kurt_c7min_norm,586079.3894977046
eeg_dt_c7min_norm,329806.8926871996
eeg_abspow_c7min_norm,297118.9878155346
eeg_iqr_c7min_norm,179926.98946645725
eeg_abspow,115661.92244802896
eeg_abspow_p2min_norm,104324.46251642764
eeg_dt_p2min_norm,102587.54267920704
eeg_sdelta_c7min_norm,96444.29057755806
eeg_fdelta_c7min_norm,93600.54049482566
eeg_nzc_c7min_norm,86968.3112006501
eeg_db_c7min_norm,80341.72139739413
eeg_petrosian_c7min_norm,78070.08226758649
eeg_kurt_p2min_norm,66479.56494761579
eeg_iqr_p2min_norm,64257.53367539421
eeg_theta_c7min_norm,63690.10960529969
eeg_sigma_c7min_norm,46734.881865641626
eeg_iqr,45329.49248329031
eeg_petrosian_p2min_norm,38333.25510798659
eeg_fdelta_p2min_norm,37093.33248027672
eeg_skew_c7min_norm,36542.51775874948
eeg_perm_p2min_norm,35443.99640427248
eeg_at_c7min_norm,31140.193972737994
eeg_nzc_p2min_norm,28526.550582058975
eeg_higuchi_c7min_norm,26342.677300112322
eeg_kurt,25783.98318915616
eeg_alpha_c7min_norm,24640.402629579512
eeg_fdelta,23285.267573041307
eeg_hmob_c7min_norm,20633.526072260567
eeg_hcomp_c7min_norm,19694.095266176853
eeg_sdelta_p2min_norm,12968.36765125791
eeg_theta_p2min_norm,11982.48748498041
eeg_hcomp_p2min_norm,10390.826480183634
eeg_alpha,9945.487404388216
eeg_at_p2min_norm,9777.804208369527
eeg_ds_c7min_norm,9340.76704839283
eeg_beta_c7min_norm,8425.610234777378
eeg_higuchi_p2min_norm,6604.227873966699
eeg_skew_p2min_norm,6536.922127747204
eeg_dt,6106.6539643381075
eeg_sigma_p2min_norm,5960.813876575219
eeg_hcomp,5692.732630813824
eeg_db_p2min_norm,5676.906438702494
eeg_alpha_p2min_norm,5425.744902126025
eeg_perm,5078.290008289078
eeg_hmob,4714.540608714677
eeg_petrosian,4593.066432298118
eeg_ds_p2min_norm,4041.7707254518573
eeg_beta_p2min_norm,4032.390046454401
eeg_at,2768.068566706679
eeg_nzc,2749.6945698806144
eeg_db,2747.7588001544827
eeg_sigma,2493.967242222686
eeg_sdelta,2179.5803741761247
eeg_higuchi,2178.7243819311097
eeg_hmob_p2min_norm,1969.3441315217642
eeg_beta,1682.5128449214635
eeg_skew,1645.5233558642665
eeg_theta,1493.2765868774688
eeg_ds,998.6430595399393
